Index,State,FIPS_code,Bioguide_Id,First_Name,Last_Name,Party,Role,Position,TeenBirths,Teen_zscore,Medicaid_Enrollment,Medc_zscore
UT - L000577,UT,04000US49,L000577,Mike,Lee,Republican,sen,U,17.6,-0.68847642,306405,-0.59572062
MA - M000133,MA,04000US25,M000133,Edward,Markey,Democrat,sen,N,9.4,-1.81972116,1663917,0.072503464
AZ - M000303,AZ,04000US04,M000303,John,McCain,Republican,sen,U,26.3,0.511746658,1746566,0.113186752
KY - M000355,KY,04000US21,M000355,Mitch,McConnell,Republican,sen,Y,32.4,1.353282379,1247764,-0.132344418
NJ - M000639,NJ,04000US34,M000639,Robert,Menendez,Democrat,sen,N,12.1,-1.447238136,1772154,0.125782234
KS - M000934,KS,04000US20,M000934,Jerry,Moran,Republican,sen,U,25.5,0.401381317,387934,-0.555588642
WA - M001111,WA,04000US53,M001111,Patty,Murray,Democrat,sen,N,17.6,-0.68847642,1807149,0.143008234
AK - M001153,AK,04000US02,M001153,Lisa,Murkowski,Republican,sen,U,29.3,0.925616685,186940,-0.654526281
CT - M001169,CT,04000US09,M001169,Christopher,Murphy,Democrat,sen,N,10.1,-1.723151488,756600,-0.374115845
MO - M001170,MO,04000US29,M001170,Claire,McCaskill,Democrat,sen,N,25,0.33240298,978080,-0.265094142
OR - M001176,OR,04000US41,M001176,Jeff,Merkley,Democrat,sen,N,19,-0.495337074,992232,-0.258127937
WV - M001183,WV,04000US54,M001183,Joe,Manchin,Democrat,sen,N,31.9,1.284304041,562183,-0.469816009
FL - N000032,FL,04000US12,N000032,Bill,Nelson,Democrat,sen,N,20.8,-0.247015058,4352537,1.39595448
OH - P000449,OH,04000US39,P000449,Robert,Portman,Republican,sen,U,23.2,0.084080963,2802733,0.633076245
MI - P000595,MI,04000US26,P000595,Gary,Peters,Democrat,sen,N,19.4,-0.440154404,2346668,0.408582011
KY - P000603,KY,04000US21,P000603,Rand,Paul,Republican,sen,N,32.4,1.353282379,1247764,-0.132344418
GA - P000612,GA,04000US13,P000612,David,Perdue,Republican,sen,U,25.6,0.415176985,1730273,0.105166657
RI - R000122,RI,04000US44,R000122,John,Reed,Democrat,sen,N,14.3,-1.14373345,308266,-0.594804558
KS - R000307,KS,04000US20,R000307,Pat,Roberts,Republican,sen,Y,25.5,0.401381317,387934,-0.555588642
ID - R000584,ID,04000US16,R000584,James,Risch,Republican,sen,U,22.5,-0.01248871,295487,-0.601094915
FL - R000595,FL,04000US12,R000595,Marco,Rubio,Republican,sen,U,20.8,-0.247015058,4352537,1.39595448
SD - R000605,SD,04000US46,R000605,Mike,Rounds,Republican,sen,U,26.4,0.525542325,119227,-0.687857446
VT - S000033,VT,04000US50,S000033,Bernard,Sanders,Independent,sen,N,11.6,-1.516216474,168479,-0.663613556
NY - S000148,NY,04000US36,S000148,Charles,Schumer,Democrat,sen,N,14.6,-1.102346447,6431748,2.419428943
AL - S000320,AL,04000US01,S000320,Richard,Shelby,Republican,sen,U,30.1,1.035982025,880113,-0.31331759
MI - S000770,MI,04000US26,S000770,Debbie,Stabenow,Democrat,sen,N,19.4,-0.440154404,2346668,0.408582011
NH - S001181,NH,04000US33,S001181,Jeanne,Shaheen,Democrat,sen,N,10.9,-1.612786147,186050,-0.654964376
SC - S001184,SC,04000US45,S001184,Tim,Scott,Republican,sen,U,26.2,0.49795099,1011597,-0.248595675
HI - S001194,HI,04000US15,S001194,Brian,Schatz,Democrat,sen,N,20.6,-0.274606393,345954,-0.576252951
NE - S001197,NE,04000US31,S001197,Benjamin,Sasse,Republican,sen,U,22,-0.081467047,239862,-0.628475863
AK - S001198,AK,04000US02,S001198,Dan,Sullivan,Republican,sen,U,29.3,0.925616685,186940,-0.654526281
SD - T000250,SD,04000US46,T000250,John,Thune,Republican,sen,U,26.4,0.525542325,119227,-0.687857446
PA - T000461,PA,04000US42,T000461,Patrick,Toomey,Republican,sen,Y,17.7,-0.674680753,2922313,0.691938514
MT - T000464,MT,04000US30,T000464,Jon,Tester,Democrat,sen,N,25.3,0.373789982,255425,-0.620815104
NC - T000476,NC,04000US37,T000476,Thom,Tillis,Republican,sen,Y,23.6,0.139263634,2033060,0.25421106
NM - U000039,NM,04000US35,U000039,Tom,Udall,Democrat,sen,N,34.6,1.656787066,784403,-0.360430048
MS - W000437,MS,04000US28,W000437,Roger,Wicker,Republican,sen,U,34.8,1.684378401,675158,-0.414204998
OR - W000779,OR,04000US41,W000779,Ron,Wyden,Democrat,sen,N,19,-0.495337074,992232,-0.258127937
RI - W000802,RI,04000US44,W000802,Sheldon,Whitehouse,Democrat,sen,N,14.3,-1.14373345,308266,-0.594804558
VA - W000805,VA,04000US51,W000805,Mark,Warner,Democrat,sen,N,17.1,-0.757454758,993171,-0.257665722
MA - W000817,MA,04000US25,W000817,Elizabeth,Warren,Democrat,sen,N,9.4,-1.81972116,1663917,0.072503464
IN - Y000064,IN,04000US18,Y000064,Todd,Young,Republican,sen,U,26,0.470359655,1492417,-0.011915997
